Repository,ecore,xtext,mwe2
dag.m1x.tests,NO,NO,NO
xtext-sm,YES,YES,YES
php.ware.web.ui,NO,NO,NO
xtextext,NO,NO,NO
xtextfsm,YES,YES,YES
dag.m1x.sdk,NO,NO,NO
xmodelica,YES,YES,YES
xtextgeneratetest,NO,NO,NO
com.sandy.xtext.jovenotes,YES,YES,YES
dag.m1x.ui,NO,NO,NO
viatra-evm-xtext,YES,YES,YES
ReqText,YES,YES,YES
e4dsl,YES,YES,YES
Xtext.Promo,YES,YES,YES
myDsl,YES,YES,YES
org.eclipse.xtext.example.arithmetics,NO,YES,YES
textual_verduler,?,?,?
examplextext,?,?,?
famix.m3x.ui,NO,NO,NO
sialx-xtext-ide,NO,YES,YES
DomainModel,YES,YES,YES
SmallJava,NO,NO,NO
de.htwg.mdse.setgame.entities.parent,YES,YES,YES
x-vhdl,YES,YES,YES
famix.m3x.tests,NO,NO,NO
CalcXtext,NO,YES,YES
xtext_examples,NO,YES,YES
xtext-lib,NO,NO,NO
atom-xtext-package,NO,YES,YES
bpel-xtext,YES,YES,YES
xtext-sandbox,YES,YES,YES
xtext-whitespace,NO,YES,YES
claseXtext,YES,YES,YES
famix.m3x.sdk,NO,NO,NO
xtext-composition,YES,YES,YES
xtext-javatools,NO,YES,YES
ontouml-xtext,NO,YES,YES
codebuilder-xtext,NO,YES,YES
xtext-utils,NO,NO,NO
xtext-debug,YES,YES,YES
Xtext-sandbox,YES,YES,YES
xtext-grammars,NO,YES,NO
XTEXT_EXAMPLE,YES,YES,YES
monaco-xtext,NO,NO,NO
xtext-demo,YES,YES,YES
picobot-XText,NO,YES,NO
Xtext-Light,NO,NO,NO
libXtextcursorchanger,NO,NO,NO
GrammaireXtext,?,?,?
xtext_project,YES,YES,YES
xtext_project,YES,YES,YES
xtext-xgen,YES,YES,YES
xtext-typesystem,YES,YES,YES
xtext-demo,YES,YES,YES
xtext.example,YES,YES,YES
xtext-typesystem,YES,YES,YES
ppXtext,NO,YES,YES
xtext_practice,YES,YES,YES
Xtext-Examples,YES,YES,YES
Xtext-examples,YES,YES,YES
runtime-Xtext,NO,NO,NO
language-xtext,NO,NO,NO
sll-xtext,YES,YES,YES
Xtext_test,YES,YES,YES
xtext-typesystem,YES,YES,YES
xtext-utils,NO,NO,NO
xtext-workshop,NO,YES,YES
ng-xtext,NO,NO,NO
MGPL-Xtext,NO,YES,YES
gradle-xtext,NO,YES,YES
Xtend_Xtext,YES,YES,YES
Convert-XText,NO,NO,NO
xtext_eclipse,NO,NO,NO
xtext-technocat,YES,YES,YES
xtext-xtestgen,YES,YES,YES
selenium-xtext,YES,YES,YES
modelica-xtext,YES,YES,YES
firewall-xtext,NO,YES,YES
JSEditorXtext,YES,YES,YES
paplj-xtext,YES,YES,YES
xtext-sublime,NO,NO,YES
thicket-xtext,YES,YES,YES
xtext-web,NO,YES,YES
xtext-dropwizard,NO,YES,YES
xtext-menetrend,YES,YES,YES
xtext-utils,NO,NO,NO
xtext_utils,NO,NO,NO
xtext-fsml,YES,YES,YES
xtext-json,NO,YES,YES
xtext-utils,NO,NO,NO
xtext-issues,NO,NO,NO
xtext-lexertrace,YES,YES,YES
Tcc,NO,NO,NO
lime-xtext,NO,NO,NO
xtext-recordmapper,YES,YES,YES
wwf-xtext,NO,YES,YES
XText-maven,YES,YES,YES
XText.scptd,NO,NO,NO
mgpl_xtext,NO,YES,YES
xtext-workshop,NO,YES,YES
org.xtext.example.mde,NO,YES,YES
XActiv,YES,YES,YES
webcalc,NO,YES,YES
skysail-prototypr-dsl,YES,YES,YES
certware-l-editor,YES,YES,YES
