Owner,Repo,Scenario
mraminella,xtextTests,not applicable
Alma2015RSABSAWA,XtextLangage,not applicable
myorb,XTextParser,not applicable
Jhinnn,XTextView,not applicable
kathisai,xtextSample,grammar-driven
huibo-shi,XtextExamples,grammar-driven
osamu-k,XTextStudy,grammar-driven
Treehopper,XTextTemplate,not applicable
seba111,Xtext1,metamodel-driven
shinesamjacob,XtextExample,grammar-driven
ajperalt,xtext,metamodel-driven
schakko,xtext-plugin-with-maven-tycho,not applicable
colameo,xtext4roo,metamodel-driven
vinpereira,XtextToXMI,grammar-driven
JanKoehnlein,XtextCon2014,not applicable
bink81,xtext-test,not applicable
xtext42,xtext42-coding,not applicable
borisbrodski,XtextBug437519,grammar-driven
hypery2k,xText,not applicable
borisbrodski,XtextBug453268,grammar-driven
arnulfo-rodriguez,XtextClosureExample,metamodel-driven
superxlx,XTextViewDemo,not applicable
johnBened,XtextMyDSLExample,not applicable
philiber92,XtextTestRepository,grammar-driven
fabienfleureau,XtextAtStackoverflow,not applicable
yunxiaocloud,XTextFieldLimtDemo,not applicable
eclipse,xtext-gradle,not applicable
Mensmec,THESIS_XTEXT,not applicable
MacJariel,sandbox-dsl,metamodel-driven
chetanladdha,XtextFormatingHoverSample,not applicable
ainslec,XTextCustomLexerExample,metamodel-driven
hem28,DSL_Xtext2.3,metamodel-driven
HBuender,XtextAndSiriusIntegration,grammar-driven
meysholdt,EclipseCon2014_XtextTutorial,grammar-driven
jaimedelgado,Xtext,not applicable
chris125964,xtext,not applicable
DonRenando,xtext,grammar-driven
martijndwars,Xtext,not applicable
ozkandemir,XText,grammar-driven
johnahfong,xtext,grammar-driven
Mensmec,Xtext,not applicable
pellcorp,xtext,grammar-driven
Tutti91,Xtext,grammar-driven
ANCIT,xtext-examples,metamodel-driven
DECENTSoftwareAssessment,dag.m1x,not applicable
rmemory,xtext,TBD
deb-sandeep,com.sandy.xtext.jovenotes.tests,not applicable
yasuohosotani,Xtext,not applicable
