Owner Login,Repo Name,XText File Count
wuwen1030,XTExtension,0
fuinorg,org.fuin.dsl.cqrs,1
JanKoehnlein,EclipseCon2013_XtextTutorial,4
avaranovich,megal-xtext,1
fuinorg,org.fuin.dsl.ddd,1
arturboronat,xtext.domainmodel,1
otrosien,xtext-perl,1
cmendible,Hexa.xText,0
SciSpike,yaktor-dsl-xtext,2
andrearn,org.fornax.soa.xtextservicerepository,10
ujhelyiz,xtext-reflective,0
szarnekow,xtextcon-xbase-example,1
bsi-software,org.eclipse.scout.xtext,1
cdietrich,xtext-languageserver-xbase-example,1
test-editor,deprecated-test-editor-xtext,3
awk-kazmin,eclipse_1C_xtext,1
svenefftinge,fowlers-statemachine-with-expressions,1
copton,XTextExamples,2
GeekBugs,XTextView,0
akosyakov,org.xtext.example.mydsl.idea,3
vaulttec,isis-script,0
HBehrens,Xtext2Workshop,0
GrupoHunter,Kukuroo,2
itemis,xtext-languageserver-example-lsp4e,0
fatalerrortan,Xtext_Xtend_HTML_Generator,3
spoenemann,xtext-gef,1
Minres,RDL-Editor,1
svenefftinge,Guice-Modules-DSL,1
LorenzoBettini,jbase,5
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,19
hishidama,xtext-dmdl-editor,2
cmark,androtext,1
svenefftinge,homeautomation-example,1
SOM-Research,graphQL-xtext-grammar,2
janesser,frege-xtext,1
szarnekow,org.eclipse.e4.xcss,0
LorenzoBettini,xtext-scoping,1
JanKoehnlein,ESE-2010-Tutorial,1
spoenemann,xtext-orion,1
Modaptix,xtext-expressions,1
nittka,Jtag,1
erlide,erlide_xtext,2
cdietrich,xtext-forum-support-example,0
ESIR2Compilation,Langage-WHILE,1
jhonatan89,gen-angular-grammar,1
Sofiane-13,tutorialXtextSirius,0
eclipse-soc,amalgamation-examples,1
dvdkruk,xtext-xsd-resourceprovider,0
marnix,metamath-eclipse-xtext,1
JanKoehnlein,Xtext-Syntax-View,0
planger,xtext-uml-experiment,1
rquinio,ck2xtext,3
mzaks,petrinet_dsl,1
drnappalm,xtext,7
svenefftinge,Xtext-Workshop-Runtime-Workspace,0
martijndwars,XtextXT,1
nahni,xtextTessla,2
baidty,xtextLearning,1
MoayadHn,XtextBDI,2
fzalila,XtextExperiments,1
Girish-Venkatesh,XTextSelenium,2
Vinayakatk,xtextScopes,2
01Lizard10,XTextUML,1
Salome-Maro,XtextUtils,0
fanghuixing,XtextApricot,2
mraminella,xtextTests,0
Alma2015RSABSAWA,XtextLangage,0
myorb,XTextParser,0
Jhinnn,XTextView,0
kathisai,xtextSample,2
huibo-shi,XtextExamples,4
osamu-k,XTextStudy,2
Treehopper,XTextTemplate,1
seba111,Xtext1,1
shinesamjacob,XtextExample,1
ajperalt,xtext,6
schakko,xtext-plugin-with-maven-tycho,1
colameo,xtext4roo,1
vinpereira,XtextToXMI,4
JanKoehnlein,XtextCon2014,0
bink81,xtext-test,0
xtext42,xtext42-coding,0
borisbrodski,XtextBug437519,1
hypery2k,xText,4
borisbrodski,XtextBug453268,1
arnulfo-rodriguez,XtextClosureExample,1
superxlx,XTextViewDemo,0
johnBened,XtextMyDSLExample,0
philiber92,XtextTestRepository,1
fabienfleureau,XtextAtStackoverflow,0
yunxiaocloud,XTextFieldLimtDemo,0
eclipse,xtext-gradle,0
Mensmec,THESIS_XTEXT,0
MacJariel,sandbox-dsl,1
chetanladdha,XtextFormatingHoverSample,0
ainslec,XTextCustomLexerExample,1
hem28,DSL_Xtext2.3,1
HBuender,XtextAndSiriusIntegration,1
meysholdt,EclipseCon2014_XtextTutorial,4
jaimedelgado,Xtext,0
chris125964,xtext,0
DonRenando,xtext,2
martijndwars,Xtext,15
ozkandemir,XText,2
johnahfong,xtext,5
Mensmec,Xtext,4
pellcorp,xtext,1
Tutti91,Xtext,1
ANCIT,xtext-examples,1
DECENTSoftwareAssessment,dag.m1x,1
rmemory,xtext,3
deb-sandeep,com.sandy.xtext.jovenotes.tests,0
yasuohosotani,Xtext,1
Nika24,Xtext,4
BenediktNiehues,de.nie.fin,2
AlexElvers,XText,0
lakzso,xtext,1
