Owner,Repo,Ecore File,Containing Folder
stanimirovv,xtext-extractor,not applicable,not applicable
3m3k3,xtext-congen,not applicable,not applicable
3m3k3,xtext-congen,not applicable,not applicable
pen-zhang,xtext_elm_editor,not applicable,not applicable
pen-zhang,xtext_elm_editor,not applicable,not applicable
NSaitoNmiri,toppers_cfg_xtext,not applicable,not applicable
NSaitoNmiri,toppers_cfg_xtext,not applicable,not applicable
tmtron,ex.xtext.twog,not applicable,not applicable
tmtron,ex.xtext.twog,not applicable,not applicable
vinicius0197,metacrysl,not applicable,not applicable
vinicius0197,metacrysl,not applicable,not applicable
Dexels,navascript-editor,not applicable,not applicable
Dexels,navascript-editor,not applicable,not applicable
adrianrutle,PCS953-EMF-Exercise,not applicable,not applicable
adrianrutle,PCS953-EMF-Exercise,not applicable,not applicable
ravornyo,xspice,com.xtext.ravornyo.xspice/model/generated/XSpice.ecore,generated
yamen-njm,IotXtext,not applicable,not applicable
yamen-njm,IotXtext,not applicable,not applicable
kainzpat14,xtext-plsql,sh.kainz.plsql.parent/sh.kainz.plsql/model/generated/Plsql.ecore,generated
epsilonlabs,emc-xtext,not applicable,not applicable
epsilonlabs,emc-xtext,not applicable,not applicable
robertovillarejo,kukulkan-grammar,mx.infotec.dads.kukulkan.parent/mx.infotec.dads.kukulkan/model/generated/Kukulkan.ecore,generated
lvanzeun,ulm-xtext-test,ulm.xtext2/model/generated/UlmDsl2.ecore,generated
purerstamp,N7.compilateur,rat/model/generated/Rat.ecore,generated
jaedabee,xtext-gradle-test,not applicable,not applicable
jaedabee,xtext-gradle-test,not applicable,not applicable
MassiBelaid,M-langeuse-Xtext,not applicable,not applicable
MassiBelaid,M-langeuse-Xtext,not applicable,not applicable
qxe35v,xtext_encoding_dsl,encoding_model/model/encoding_model.ecore,model
qxe35v,xtext_encoding_dsl,encoding_rules_base/model/generated/EncodingLang.ecore,generated
random-eclipse,nix-eclipse-xtext,not applicable,not applicable
random-eclipse,nix-eclipse-xtext,not applicable,not applicable
meta-doodle,Xtext_Gradle_Test,not applicable,not applicable
meta-doodle,Xtext_Gradle_Test,not applicable,not applicable
LiamWalsh98,nusmv-xtext-lsp,org.xtext.nusmv.language/model/generated/NuSMV.ecore,generated
MaximilianKoestler,vscode-xtext-links,not applicable,not applicable
MaximilianKoestler,vscode-xtext-links,not applicable,not applicable
AhmedEssam2212,xText-Editor-,not applicable,not applicable
AhmedEssam2212,xText-Editor-,not applicable,not applicable
adrinerDP,DSL-with-Xtext,not applicable,not applicable
adrinerDP,DSL-with-Xtext,not applicable,not applicable
cdietrich,xtext-domainmodel-ls,not applicable,not applicable
cdietrich,xtext-domainmodel-ls,not applicable,not applicable
tmtron,ex.xtext.ml,not applicable,not applicable
tmtron,ex.xtext.ml,not applicable,not applicable
andrewsandu,xtext-web-example,com.example.helloweb.parent/com.example.helloweb/model/generated/MyDsl.ecore,generated
pngowda,xtext-build-tools,not applicable,not applicable
pngowda,xtext-build-tools,not applicable,not applicable
SharkJ,xtext-dsl-sample,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
hammedb197,team-hacktive-xtext,not applicable,not applicable
hammedb197,team-hacktive-xtext,not applicable,not applicable
SimonCockx,xtext-monaco-example,not applicable,not applicable
