owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
alexvolh,xtext-xml-grammar,10/4/2018 23:35,10/4/2018 23:35,10/4/2018 23:35,10/4/2018 23:35,0,0,0
SharkJ,my-theia-xtext,11/21/2018 14:05,12/20/2018 9:49,11/21/2018 14:05,11/21/2018 14:05,28,0,0
urbanoanderson,xtext-gait-model,2/20/2019 11:16,2/20/2019 11:16,2/20/2019 11:16,2/20/2019 11:16,0,0,0
vjordan,Xtext_directory-file,3/20/2019 22:23,3/20/2019 22:23,3/20/2019 22:23,3/20/2019 22:23,0,0,0
JosBouwhuis,xText-DSL,0,0,0,0,0,0,0
CS130-W20,assignment-2-xtext,0,0,0,0,0,0,0
lunifera,xtext-jvmtypeprovider-standalone,0,0,0,0,0,0,0
bobbyfisher1,eclipse-workspace,5/2/2018 14:53,5/4/2018 13:50,5/2/2018 14:53,5/2/2018 14:53,1,0,0
dsl-course,xtext-entities-tutorial,3/9/2020 13:34,3/10/2020 14:17,3/9/2020 13:34,3/9/2020 13:34,1,0,0
Highbrainer,xtext-pde-target,0,0,0,0,0,0,0
mattsse,xtext-fipa-acl,3/5/2018 17:33,7/1/2018 1:12,3/17/2018 12:24,3/17/2018 12:24,117,0,0
XIECHO,qingo_xtext_documentation,0,0,0,0,0,0,0
FariSoftware,xtext-problem-matcher,0,0,0,0,0,0,0
ShrawanBK,xtext.sales.transactions,0,0,0,0,0,0,0
Lzgpom,xtext-gen-extension,6/23/2022 3:38,6/23/2022 3:43,6/23/2022 3:43,6/23/2022 3:43,0,0,0
drkstr101,Domainmodel,4/29/2020 21:09,4/29/2020 21:39,4/29/2020 21:20,4/29/2020 21:20,0,0,0
vinicius0197,expressions-dsl,4/30/2020 8:31,5/7/2020 9:30,4/30/2020 8:31,5/7/2020 9:30,7,7,100
LorenzoBettini,xtext-xdoc-releases,0,0,0,0,0,0,0
KarstenWilken,xTextForum,11/19/2018 17:51,11/20/2018 15:40,11/20/2018 13:08,11/20/2018 13:08,0,0,0
S-wald,xtext-plugin-gradle,11/12/2022 14:13,11/13/2022 14:58,11/12/2022 14:13,11/12/2022 18:53,1,0,0
lahirugayanga,xtext-example-dsl,12/3/2018 8:12,12/3/2018 8:12,12/3/2018 8:12,12/3/2018 8:12,0,0,0
cdietrich,xtext-fragment-experiments,9/29/2021 8:37,9/29/2021 8:37,9/29/2021 8:37,9/29/2021 8:37,0,0,0
cdietrich,xtext_bug_1974,10/5/2021 14:48,10/5/2021 14:48,10/5/2021 14:48,10/5/2021 14:48,0,0,0
bergmanngabor,xtext-railmap-demo,10/25/2018 16:40,10/25/2018 17:10,10/25/2018 17:10,10/25/2018 17:10,0,0,0
mchlrch,xtext-intro-bfh,12/10/2018 9:29,12/10/2018 10:41,12/10/2018 9:29,12/10/2018 9:29,0,0,0
EvdokimovMaks,xtext-example-entities,10/10/2019 19:41,11/8/2019 17:20,10/10/2019 19:41,11/8/2019 13:00,28,28,100
cipek,MyFirstXText,6/13/2019 14:12,7/12/2019 3:07,6/13/2019 14:12,6/15/2019 2:32,28,1,3.57
pngowda,xtext-ci-libs,0,0,0,0,0,0,0
paulvberlin,BaSiriusXtext,2/19/2019 16:24,2/19/2019 16:28,2/19/2019 16:24,2/19/2019 16:24,0,0,0
szarnyasg,sql-pgq-xtext,2/16/2021 22:50,2/27/2021 14:06,2/16/2021 22:50,2/27/2021 14:06,10,10,100
frademacher,xtext-jpms-test,0,0,0,0,0,0,0
xtext,xtext-monorepo-lfs,0,0,0,0,0,0,0
LorenzoBettini,xtext-build-utils,1/27/2020 16:31,12/11/2023 11:23,1/27/2020 16:41,2/3/2020 15:07,1413,6,0.42
cdietrich,xtext-two-dsls,12/29/2023 17:57,12/29/2023 17:57,12/29/2023 17:57,12/29/2023 17:57,0,0,0
balazsgrill,xtext_bug508518,7/24/2018 8:56,7/24/2018 9:10,7/24/2018 9:00,7/24/2018 9:00,0,0,0
Tim-S,xtext-valueconverter-example,8/16/2018 20:13,8/16/2018 20:21,8/16/2018 20:13,8/16/2018 20:13,0,0,0
ayakurtam,xText-Editor,0,0,0,0,0,0,0
HouseBuilder-MDE,HouseBuilder-Xtext,7/15/2021 10:39,7/17/2021 16:21,7/15/2021 10:41,7/17/2021 16:21,2,2,100
xtext,xtext-orbit-replacement,0,0,0,0,0,0,0
fedorov-vk,xtext-xcore-sample,12/11/2023 9:01,12/11/2023 9:29,12/11/2023 9:29,12/11/2023 9:29,0,0,0
gustavotemple,mo631xtext,11/25/2019 23:09,11/27/2019 17:25,11/25/2019 23:25,11/26/2019 0:05,1,0,0
Tim-S,xtext-mapbasedscope-example,7/5/2018 6:52,7/5/2018 6:54,7/5/2018 6:52,7/5/2018 6:52,0,0,0
shakenetwork,xTextHandler,0,0,0,0,0,0,0
GabrielBozza,ProjetoXtextPFC,9/4/2021 21:23,9/12/2021 21:41,9/4/2021 21:23,9/12/2021 21:33,8,8,100
